batch_idx,grad_type,layer,num_channels,bits_mean,bits_min,bits_max,step_mean,range_mean,grad_mean,grad_abs_mean,grad_abs_max,frac_push_bits_up,frac_push_bits_down,sum_g_over_s,mean_g_over_s,abs_mean_g_over_s,sens_mean,sens_max
0,likelihood,encoder.layers.0.blocks.7.attention.self.continuous_position_bias_mlp.0,512,8.0,8.0,8.0,0.002082440070807934,0.533104658126831,-3.132563051622128e-06,8.219459414249286e-05,0.0005705302464775741,0.484375,0.509765625,-243.8213653564453,-0.47621360421180725,0.7881742715835571,3.9665024290146887e-17,3.966503090759179e-17
0,likelihood,encoder.layers.0.blocks.7.attention.self.continuous_position_bias_mlp.2,3,8.0,8.0,8.0,0.0025173902977257967,0.644451916217804,0.0017404722748324275,0.0017404722748324275,0.00485741812735796,1.0,0.0,3.834756851196289,1.2782522439956665,1.2782522439956665,3.966503090759179e-17,3.966503090759179e-17
0,likelihood,encoder.layers.0.blocks.7.attention.self.query,192,8.0,8.0,8.0,0.00037980303750373423,0.09722957760095596,7.485351670766249e-05,0.0012936977436766028,0.009627626277506351,0.5416666865348816,0.4583333432674408,46.95249557495117,0.24454425275325775,3.47668719291687,3.966503090759179e-17,4.667003308605425e-16
0,likelihood,encoder.layers.0.blocks.7.attention.self.key,192,8.0,8.0,8.0,0.00036981821176595986,0.09467346221208572,-9.58155796979554e-05,0.0016709886258468032,0.00872482918202877,0.4479166567325592,0.5520833134651184,-62.141822814941406,-0.3236553370952606,4.606344699859619,3.966503090759179e-17,4.667003308605425e-16
0,likelihood,encoder.layers.0.blocks.7.attention.self.value,192,8.0,8.0,8.0,0.0003430296201258898,0.08781558275222778,0.0002467363083269447,0.005336895119398832,0.03910629823803902,0.5520833134651184,0.4479166567325592,134.2383270263672,0.6991579532623291,15.679888725280762,3.966503090759179e-17,4.667003308605425e-16
0,likelihood,encoder.layers.0.blocks.7.attention.output.dense,192,8.0,8.0,8.0,0.00027645635418593884,0.07077282667160034,0.00013059926277492195,0.0025927366223186255,0.02280726470053196,0.5572916865348816,0.4427083432674408,110.59931945800781,0.576038122177124,9.52973461151123,3.966503090759179e-17,4.667003308605425e-16
0,likelihood,encoder.layers.0.blocks.7.intermediate.dense,768,8.0,8.0,8.0,0.00014114278019405901,0.03613255172967911,3.323280907352455e-05,0.00020059343660250306,0.002573454286903143,0.5325520634651184,0.4674479067325592,85.78190612792969,0.11169519275426865,0.8620598316192627,3.966502759886934e-17,3.966503090759179e-17
0,likelihood,encoder.layers.0.blocks.7.output.dense,192,8.0,8.0,8.0,0.00017495312204118818,0.044787999242544174,2.177679562009871e-05,0.0006546446238644421,0.015496863052248955,0.5104166865348816,0.4895833432674408,172.30455017089844,0.8974195122718811,4.225714683532715,3.966503090759179e-17,4.667003308605425e-16
0,likelihood,encoder.layers.0.downsample.reduction,384,8.0,8.0,8.0,0.0002714934234973043,0.0695023164153099,0.016133993864059448,0.033513039350509644,0.8484925627708435,0.5078125,0.4921875,47177.8203125,122.8589096069336,207.8831787109375,nan,nan
0,likelihood,encoder.layers.1.blocks.0.attention.self.continuous_position_bias_mlp.0,512,8.0,8.0,8.0,0.001757633639499545,0.44995421171188354,0.00027713613235391676,0.0012919578002765775,0.01313046459108591,0.517578125,0.40234375,37.20909118652344,0.07267400622367859,3.122685194015503,4.731873459219794e-17,4.731872797475304e-17
